Document,Question,Answer
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,No.
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No.
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,Decision e
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,Yes
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,Yes
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No.
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is routine violation one of the contributing factors to this accident?,No
Report_CEN22FA073_104406_2_1_2025 8_27_13 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",Yes
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The invest
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,"Yes, perso"
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN22FA086_104459_2_1_2025 8_27_07 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,Yes
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, not be"
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,Physical o
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,Decision e
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is perceptual error one of the contributing factors to this accident?,Perceptual
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_ERA20LA197_101340_2_1_2025 8_29_28 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The contri
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,"Yes, physi"
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The contri
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is perceptual error one of the contributing factors to this accident?,Yes
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_ERA20LA220_101458_2_1_2025 8_29_22 PM.pdf,Is exceptional error one of the contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The invest
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The invest
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The invest
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, the p"
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is routine violation one of the contributing factors to this accident?,No
Report_ERA20LA273_101730_2_1_2025 8_29_02 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,"Yes, the f"
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, the f"
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There is n
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"No, decisi"
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is perceptual error one of the contributing factors to this accident?,Perceptual
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is routine violation one of the contributing factors to this accident?,"Yes, the f"
Report_ERA21FA130_102634_2_1_2025 8_28_29 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",There is n
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,There is n
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There were
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"No, decisi"
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is routine violation one of the contributing factors to this accident?,There is n
Report_ERA21FA195_102994_2_1_2025 8_28_15 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The inform
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, perso"
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The findin
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, the p"
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_ERA21FA200_103009_2_1_2025 8_28_12 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,No.
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The invest
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is routine violation one of the contributing factors to this accident?,The inform
Report_ERA21FA233_103146_2_1_2025 8_28_05 PM.pdf,Is exceptional error one of the contributing factors to this accident?,There is n
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,Yes
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,"Yes, the p"
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The reason
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_ERA21FA317_103652_2_1_2025 8_27_45 PM.pdf,Is exceptional error one of the contributing factors to this accident?,The inform
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,Yes
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",There is n
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The invest
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The accide
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_ERA21FA362_103882_2_1_2025 8_27_40 PM.pdf,Is perceptual error one of the contributing factors to this accident?,Yes
